Formula,band_gap,density,vpa,packing fraction,avg d valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,transition metal fraction, mean Number, avg_dev Number, avg_dev MendeleevNumber, mean AtomicWeight, avg_dev AtomicWeight, mean MeltingT, avg_dev MeltingT, mode MeltingT, avg_dev Column, mean Row, avg_dev Row, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mean NdValence, avg_dev NdValence, avg_dev NValence, avg_dev NUnfilled, range GSvolume_pa, mean GSvolume_pa, mean GSbandgap, mean SpaceGroupNumber, avg_dev SpaceGroupNumber
GeBi2O5,2.053,8.153105674,14.52667204,0.404597948,3.75,0.156862745,0.274509804,0.294117647,0,29.75,27.1875,1.6875,71.324725,69.15665625,321.775,333.71875,54.8,0.625,3.25,1.5625,82,93.25,34.0625,66,1.43,2.90625,0.6671875,3.75,4.6875,8.4375,0.625,23.845,16.80375,0.047875,38.625,46.59375
Dy3GaS6,2.061,5.4745472,22.73725344,0.447210593,1,0.235294118,0.294117647,0.117647059,0,32.5,20.1,23.1,74.9613,52.52322,768.807,549.7158,388.36,5.28,4,1.2,87,132.8,35.52,105,1.36,2.095,0.582,1,1.8,3,1.08,12.3825,26.729875,1.3212,106.6,52.44
LiGaSe2,2.065,4.165028141,23.38134841,0.371172725,7.5,0.152173913,0.195652174,0.652173913,0,25.5,11.25,31.125,58.646,25.8525,436.15,66.62,494,5.25,3.5,0.75,8,122.5,2.75,120,1.57,1.9725,0.5775,7.5,3.75,5.25,1.25,9.326666667,21.82270833,0.3995,80.25,74.375
Cd2Ge7O16,2.1,5.515144448,11.91452876,0.345602044,3.6,0.229357798,0.357798165,0.412844037,0,17.92,12.6976,4.608,39.571696,30.17253888,421.8016,469.762048,54.8,1.1264,2.8,1.024,78,87.36,27.3408,66,1.75,2.8996,0.691712,3.6,4.608,3.4816,0.896,13.9,13.8282,0.10724,86.2,94.976
Ba2CoGe2O7,2.124,4.820163333,16.96261825,0.571164984,2.25,0.289156627,0.385542169,0.325301205,0.083333333,21.58333333,15.84722222,22.45833333,49.23858292,38.77904674,547.8666667,575.2444444,54.8,4.208333333,3.166666667,1.361111111,149,104.8333333,45.30555556,66,2.55,2.646666667,0.925555556,2.25,3.375,2.708333333,0.791666667,54.485,20.5975,0.063833333,98.83333333,101.3055556
Sr2CoGe2O7,2.15,4.431889673,15.34466326,0.543199444,2.25,0.289156627,0.385542169,0.325301205,0.083333333,18.58333333,12.34722222,22.70833333,40.95408292,29.11379674,556.2,584.9666667,54.8,4.208333333,3,1.166666667,129,101.5,41.41666667,66,2.49,2.656666667,0.913888889,2.25,3.375,2.708333333,0.791666667,45.125,19.0375,0.063833333,98.16666667,100.5277778
Ga2Ge4Pb3O14,2.169,6.689967642,13.76610056,0.432961617,3.913043478,0.184,0.288,0.36,0,23.82608696,19.26654064,4.02268431,55.46076522,48.03992287,348.7152174,365.7759546,54.8,1.058601134,3.043478261,1.270321361,80,90.69565217,30.06427221,66,1.63,2.904782609,0.651568998,3.913043478,4.763705104,5.928166352,1.058601134,19.005,14.84934783,0.066608696,81.34782609,87.44045369
RbGeSbO5,2.177,4.708901144,15.86276556,0.629120835,2.5,0.25,0.416666667,0.333333333,0,20,15,17.84375,44.9831,36.229625,337.705,359.9425,54.8,3.1875,3,1.25,154,101.125,43.90625,66,2.62,2.76,0.85,2.5,3.75,3.5,0.625,81.6175,23.8515625,0.047875,85,91.25
AgZnPS4,2.193,3.662239615,21.53824281,0.321071625,2.857142857,0.25,0.365384615,0.384615385,0.142857143,22.28571429,9.265306122,8.163265306,47.49742314,22.35810106,542.6214286,240.6763265,388.36,1.755102041,3.428571429,0.612244898,40,113.4285714,11.46938776,105,0.93,2.298571429,0.321632653,2.857142857,4.081632653,2.326530612,0.693877551,11.826875,22.28681973,1.490428571,100.1428571,62.48979592
BaCdSnS4,2.196,4.020042911,29.31038503,0.422831655,2.857142857,0.269230769,0.346153846,0.384615385,0,31.14285714,17.30612245,19.14285714,70.95828571,44.44946939,521.82,157.3085714,388.36,3.510204082,4,1.142857143,110,131.1428571,29.87755102,105,1.69,2.122857143,0.52244898,2.857142857,4.081632653,3.183673469,0.979591837,44.095,31.35964286,1.258285714,120.5714286,57.79591837
Sn2P2S6,2.217,3.321603736,24.58398547,0.240198737,2,0.27027027,0.459459459,0.27027027,0,22.6,10.96,3.12,49.1757524,27.81369904,397.492,43.0352,388.36,0.72,3.4,0.64,34,112.2,10.72,105,0.62,2.378,0.2424,2,3.2,2.64,0.72,10.7147619,26.64317262,1.6462,70.6,28.16
La4InSbS9,2.219,4.693793145,25.49019468,0.497721101,1.6,0.319148936,0.425531915,0.255319149,0,31.46666667,18.56,28.76444444,72.05232533,47.9847904,640.0513333,330.0697778,388.36,4.942222222,4.066666667,1.28,102,136.9333333,38.32,105,1.48,2.096666667,0.58,1.6,2.24,2.062222222,2.711111111,12.6375,29.03279167,1.3212,114.0666667,52.88
LiInS2,2.221,3.377928278,22.84506369,0.402123655,2.5,0.269230769,0.346153846,0.384615385,0,21,14,31,46.47225,34.172875,415.04,26.68,388.36,5.25,3.25,0.875,37,120,15,105,1.6,1.98,0.6,2.5,3.75,3.25,1.25,9.193541667,23.10677083,1.101,127,57
Na2In2SiS6,2.237,2.884914116,25.95881752,0.387898087,1.818181818,0.294117647,0.411764706,0.294117647,0,20.90909091,10.21487603,24.39669421,45.09918532,25.35229625,510.7636364,213.861157,388.36,4.198347107,3.363636364,0.595041322,61,123.3636364,22.28099174,105,1.65,2.072727273,0.55338843,1.818181818,2.975206612,2.479338843,1.157024793,8.803333333,25.65162879,1.271363636,125.7272727,60.79338843
Li2CdGeS4,2.247,3.09967132,21.91025687,0.376963996,2.5,0.269230769,0.346153846,0.384615385,0,18.75,10.625,30.9375,40.899125,25.8131875,533.305,184.7525,388.36,5.25,3.125,0.6875,39,117.5,12.5,105,1.6,1.9975,0.585625,2.5,3.75,3.25,0.8125,9.193541667,22.35427083,1.148875,144.625,74.625
PbLi2GeS4,2.251,4.104667876,21.33904671,0.438782003,2.5,0.205882353,0.294117647,0.294117647,0,23,17,31.625,52.74775,43.586125,534.10375,185.950625,388.36,5.375,3.25,0.875,41,117.75,12.75,105,1.6,2.0775,0.565625,2.5,3.75,6.25,0.875,11.51666667,23.43114583,1.148875,148.5,78.5
Ba3Ga2(Ge2O7)2,2.258,5.288866643,14.5514788,0.563775579,2.608695652,0.26744186,0.38372093,0.348837209,0,20.43478261,15.13799622,17.08884688,46.34689565,36.94477732,400.8095652,438.2550473,54.8,3.115311909,3.043478261,1.270321361,149,99.69565217,41.02079395,66,2.55,2.716956522,0.880226843,2.608695652,3.856332703,3.228733459,1.035916824,54.485,19.47717391,0.066608696,81.86956522,88.16635161
Na2ZnGe2S6,2.266,2.801273489,24.19935886,0.378143928,2.727272727,0.256410256,0.358974359,0.384615385,0,19.27272727,6.578512397,24.36363636,40.82086714,16.03589065,562.4890909,259.6386777,388.36,4.297520661,3.272727273,0.396694215,61,120.3636364,16.89256198,105,1.65,2.091818182,0.532561983,2.727272727,3.966942149,3.404958678,0.727272727,15.28333333,24.83435606,1.270727273,138.3636364,74.5785124
GePb3O5,2.27,8.349635193,17.10854234,0.558474734,4.444444444,0.140625,0.21875,0.3125,0,35.33333333,31.11111111,3.209876543,86.02633333,80.78244444,365.2477778,344.9419753,54.8,0.987654321,3.555555556,1.728395062,80,98.66666667,36.2962963,66,1.43,2.911111111,0.587654321,4.444444444,4.938271605,9.185185185,0.987654321,19.005,16.98444444,0.042555556,106.6666667,105.1851852
BaZnSnS4,2.271,3.822013021,27.91178281,0.416930802,2.857142857,0.269230769,0.346153846,0.384615385,0,28.57142857,14.36734694,19.34693878,64.23957143,36.77093878,535.8857143,177.402449,388.36,3.510204082,3.857142857,0.979591837,110,128,28,105,1.69,2.117142857,0.528979592,2.857142857,4.081632653,3.183673469,0.979591837,49.63,30.56892857,1.258285714,120.5714286,57.79591837
K3Nb3Ge2O13,2.301,4.069450455,14.55934357,0.654926997,1.523809524,0.290322581,0.451612903,0.258064516,0.142857143,16.57142857,10.6122449,24.8707483,35.68029714,24.36682503,590.2280952,735.3961451,54.8,5.197278912,2.904761905,1.120181406,137,104.7142857,47.93197279,66,2.62,2.666666667,0.957460317,1.523809524,2.321995465,1.659863946,1.446712018,64.00166667,20.86833333,0.03647619,94.28571429,101.877551
