Formula,Band gap,MP-ID,density,vpa,packing fraction,Central symmetry
K2(TcS2)3,1.041,mp-541353,3.905971045,21.82016142,0.605175098,0
K4Ti3S14,1.19,mp-541735,2.44080512,24.26179693,0.532944736,0
Bi4RuBr2,0.57,mp-541772,7.737745198,33.62512569,0.38480223,0
Rb4Zr3Te16,1.052,mp-541953,5.077706159,37.78058311,0.515731471,0
CeF4,2.147,mp-542001,4.737642142,15.14924277,0.377791079,0
Mn(PO3)2,2.336,mp-542139,3.131332517,12.54342908,0.224112851,0
Cs2Si2Se5,2.841,mp-542550,3.640385084,36.32840196,0.581877277,0
BaTeO3,2.846,mp-5431,5.491008353,18.92637877,0.59005629,0
Cs2U2O7,1.555,mp-548479,6.494672148,19.84669289,0.909134288,0
Fe2PO5,1.232,mp-553913,3.985931992,11.59505777,0.341748667,0
Te2Pb3(ClO3)2,2.603,mp-554952,6.714827448,19.85397955,0.42650394,0
DyMoClO4,2.891,mp-555683,4.754684079,17.85581524,0.344243617,0
Rb2Ag2GeS4,1.938,mp-555852,3.916568022,27.67973999,0.674276374,0
La3Si2S8Cl,2.615,mp-556246,3.7451906,24.22307752,0.418808818,0
MnF3,0.511,mp-556560,3.260685628,14.25080208,0.22919476,0
Rb2Bi4O7,2.543,mp-556735,6.772657193,21.10180873,0.669595466,0
KSb2PO8,2.213,mp-556756,4.476826529,13.64941764,0.49800268,0
RbAu(SeO4)2,1.51,mp-557122,4.544948124,17.30431674,0.407639482,0
Na2Cu(PO3)4,0.887,mp-557171,2.792400866,13.31462331,0.343020352,0
K2Ce(Si2O5)3,2.223,mp-557649,2.961185701,14.64578659,0.463016226,0
KMo2Cl7O2,2.661,mp-558030,2.46249162,28.7236642,0.293815311,0
VAg2PO6,1.853,mp-558255,5.076936313,12.87524493,0.42125821,0
Pr3Si2S8I,2.575,mp-558259,4.150715854,24.64141943,0.393415613,0
KCr2FeO8,1.852,mp-558367,2.79365514,16.19387422,0.44421421,0
NaZr2VF11,2.172,mp-558441,3.372181868,15.27697933,0.31285272,0
Sr4Ti5(Si2O11)2,2.017,mp-558553,3.986917124,12.54422121,0.532328756,0
V3Cd5P6O25,1.91,mp-558711,4.369412285,12.67479566,0.316927879,0
ErMoClO4,2.872,mp-559004,4.913395011,17.50880798,0.351066185,0
LiNb3(Bi2O7)2,2.665,mp-559052,7.199141947,14.10759728,0.426515005,0
TmMoClO4,2.847,mp-559178,4.988937632,17.32334401,0.354824705,0
ScIO,2.015,mp-559760,4.468341685,23.27101261,0.423360802,0
K2Nb3Cl7O5,2.295,mp-559790,2.836967136,23.58791376,0.402399631,0
SrFe2(SeO3)4,2.341,mp-560149,4.080219971,15.14673555,0.322592532,0
K2Mo3(AsO5)4,2.666,mp-560268,3.53674956,15.95833518,0.369696992,0
Pr3Si2S8Br,2.688,mp-560468,4.001764341,24.16554286,0.386019095,0
Gd3Si2Cl5O6,2.574,mp-560513,4.0659015,20.45048734,0.338654081,0
La3Si2S8Br,2.581,mp-560523,3.897398734,24.62985672,0.418219401,0
Rb2Sb8O13,2.331,mp-560587,4.686571667,20.84329134,0.464429944,0
MoSeS2Cl5,2.011,mp-560907,2.502726027,30.68982929,0.175455189,0
Mn13Al4Si2(SbO14)2,1.081,mp-560917,4.383586461,12.13574285,0.410613532,0
KTiPS5,1.239,mp-560977,2.202740492,26.22122008,0.387229405,0
Nd3Si2S8I,2.547,mp-561126,4.265058331,24.25898625,0.399617652,0
K2Ge2PbS6,2.252,mp-561132,3.267886839,28.78219255,0.489976898,0
Ba2CuIO2,2.439,mp-561179,4.745229172,28.99260745,0.614346998,0
F2,2.934,mp-561203,2.361700195,13.35799979,0.039197394,0
Ag3AsS3,1.72,mp-561620,5.393890423,21.7575234,0.462295597,0
TlIn5S7,1.08,mp-562480,5.411288776,23.67417864,0.442043113,0
K8NbAs5Pb,1.202,mp-567424,3.177042513,34.40901649,0.825113405,0
CsAuSe3,1.344,mp-567913,5.701850686,33.01082135,0.624280439,0
K3P5RuSe10,0.944,mp-568011,3.609612508,28.15480521,0.425578846,0
Sm2(CN2)3,2.675,mp-568498,4.668800374,13.60563737,0.429341029,0
Cs4P2Se9,1.513,mp-569193,3.951081149,36.54173739,0.657151611,0
Tl2Hg2PdCl8,1.702,mp-569675,5.148364902,29.772429,0.33779451,0
CsTiCu3Se4,1.274,mp-570706,4.999350932,25.36343083,0.61995077,0
Ba2Ge(TeSe)2,0.838,mp-570803,5.087306203,35.45792223,0.512358197,0
Nb3Se10Cl3,1.093,mp-571061,4.436704621,27.47814973,0.2606225,0
Ca3(GaN2)2,1.915,mp-571162,4.240150636,13.7375485,0.778838651,0
Pr3CCl5,2.394,mp-571490,4.224239472,26.7305886,0.423760268,0
Cs2Ge2S5,2.413,mp-572598,3.209244559,32.85156762,0.624190629,0
Na2TeSe3,1.35,mp-573581,4.059082855,27.98596478,0.473237024,0
Ta2Hg2F11,1.364,mp-581413,6.521554993,16.50056988,0.240694804,0
K3Nb2Cu3S8,1.865,mp-581419,2.989974872,26.04213856,0.537050559,0
K3Ta2Ag3Se8,2.076,mp-582161,4.659180475,31.95307391,0.512047136,0
Tl2Te,0.648,mp-582753,8.534834083,34.7851985,0.660777834,0
K3Gd3(PS4)4,1.499,mp-604889,2.884560445,27.14435163,0.412140697,0
CsTaI6,1.183,mp-606510,5.152229127,43.31971307,0.448284563,0
Ba2NdNbO6,2.994,mp-6167,6.162807441,16.37684819,0.781469704,0
Th(InBr3)2,2.769,mp-617543,5.262519358,32.99497167,0.316040899,0
NaSr2AlP3,0.721,mp-620652,3.107832736,24.28295791,0.660058852,0
Co2PClO4,2.632,mp-622183,3.854300779,13.37131289,0.304838096,0
Pb13(Br3O5)2,2.007,mp-622491,7.67876405,24.85406534,0.506194665,0
CoH2SO5,1.215,mp-643547,3.123494835,10.21973655,0.208198213,0
Cs4Re6Se13,1.002,mp-650137,6.686120521,28.88861105,0.660923639,0
Cs4Re6S13,1.332,mp-652494,5.792260812,25.74792609,0.693646322,0
CuAs2Pb8Cl5O9,1.537,mp-653930,7.10799796,20.485739,0.483392671,0
Ta3In2Cl9,1.311,mp-662572,4.970765262,26.04618272,0.294000652,0
Al(ICl2)3,1.711,mp-672352,2.947115909,34.95688567,0.193942028,0
Zn(InS2)2,1.392,mp-674328,4.291947823,23.39645303,0.355720695,0
TaTlO3,0.97,mp-676262,9.511450244,15.13040274,0.584456334,0
K2LiSn4,0.839,mp-680450,3.827094123,34.70983659,0.629935587,0
Li4Ti5O12,2.66,mp-685194,3.500730866,10.3698056,0.548330746,0
K2MnH2OF5,2.471,mp-696630,2.81507056,13.19935618,0.718714041,0
RbH2N,1.911,mp-697144,2.784459814,15.13118811,0.919340264,0
Na2Co5Mo4(ClO4)4,2.395,mp-699543,3.767037166,15.95735201,0.369330912,0
LiMnO2,1.717,mp-754656,4.243169088,9.18463452,0.709708377,0
BaSe2,1.172,mp-7547,4.80029196,34.04439993,0.53235403,0
DyWO4,1.985,mp-755673,9.333245836,12.16764291,0.498239569,0
LaTa3O9,2.304,mp-757365,7.470711258,14.11851657,0.422317824,0
Ba2Tl(HO)7,2.73,mp-757586,4.727787953,12.35684984,0.56544988,0
Ni17(As3O16)2,1.975,mp-759655,5.597428668,10.56813566,0.416997237,0
Li2PdO3,1.423,mp-760483,5.203738014,8.950907222,0.740120088,0
SmBiO4,0.647,mp-768383,8.443401192,13.87610813,0.568101754,0
Cs4Zr3Se14,1.514,mp-768674,4.484804033,33.68887587,0.608471402,0
K2MnPO4CO3,1.098,mp-769604,2.546360113,15.65718769,0.599604874,0
Na2CrPO4CO3,1.705,mp-769616,2.720572952,12.86625901,0.468350884,0
Na3CoPO4CO3,2.246,mp-770948,2.981359993,12.11986588,0.606455455,0
Na3FeSiCO7,2.711,mp-771204,2.937094677,12.04261072,0.626790994,0
Na2FeAsCO7,2.146,mp-772415,2.985864515,13.93821631,0.445375743,0
Rb5SiHO5,2.897,mp-861513,3.701050037,20.05651623,1.171575189,0
Rb4Zr6CCl18,1.266,mp-862605,2.97659724,29.61262019,0.451662682,0
K2InP2S7,1.878,mp-862780,2.422287582,27.38770813,0.43359512,0
Gd2SCl4,1.722,mp-865182,4.85766038,23.84949086,0.418110153,0
TlInS2,1.305,mp-865274,5.585979982,28.48813463,0.462534878,0
KIn(GeO3)2,2.314,mp-8709,4.684309798,14.00916988,0.585273102,0
K2Sn2S5,1.822,mp-8965,3.269186102,26.86090311,0.561280575,0
K2Sn2Se5,1.348,mp-8966,4.274421554,30.66495543,0.531180759,0
Na2P2PdO7,1.541,mp-8989,3.312256607,13.63383378,0.458804188,0
Rb2Sn2Se5,1.291,mp-9322,4.593417828,32.2604431,0.572136606,0
K2PAuS4,1.628,mp-9509,3.248325529,27.75788125,0.54243343,0
Tl2PAuS4,1.299,mp-9510,5.870987141,27.04522772,0.41001582,0
KSbSe2,1.559,mp-9576,3.977084353,33.27461614,0.52677949,0
S,2.74,mp-96,1.894837493,28.1001328,0.149066563,0
SrCu(SeO3)2,0.713,mp-9640,4.176795018,16.10457654,0.384898298,0
Na3Ni2SbO6,2.254,mp-971678,4.987901998,11.21120341,0.833227423,0
Sr(GaAs)2,0.737,mp-972120,5.124502894,24.42666007,0.529397946,0
Pr6IrCl11,0.708,mp-975605,4.791334747,27.48783789,0.435574009,0
K3Gd(PO4)2,1.29,mp-978099,3.938668856,13.98768166,0.887778838,0
SrTcN3,1.564,mp-989627,4.551416365,16.61044602,0.569128075,0
LaMoN3,2.06,mp-989631,5.63308226,16.32307408,0.579308108,0
MnAgO2,1.001,mp-996995,6.466486931,12.50607134,0.608921889,0
NaAuO2,1.304,mp-997089,7.888517743,13.25918771,0.689042522,0
KGeBr3,2.921,mp-998612,3.405234405,34.27646286,0.419502725,0
BaCaMg14O16,0.846,mp-1036305,3.653159745,10.98964416,0.791812456,0
Mg30NiCO32,1.336,mp-1036764,3.543610772,9.605108853,0.756125404,0
HfMg30CO32,0.756,mp-1038368,3.747936394,9.910787333,0.74114825,0
Mg30BSbO32,2.206,mp-1038429,3.589163111,9.930437795,0.737018138,0
Mg30BSbO32,1.075,mp-1038436,3.580039305,9.955745727,0.735144606,0
Mg30BiBO32,2.173,mp-1038455,3.779377105,10.02942383,0.736579033,0
Mg30BCO32,1.807,mp-1038482,3.40706468,9.625415779,0.741976263,0
Mg30BWO32,1.999,mp-1038510,3.793413577,9.820359196,0.741359023,0
Mg30BWO32,1.88,mp-1038517,3.793995032,9.81885416,0.741472659,0
CsMg30SbO32,2.369,mp-1038732,3.739256187,10.37901987,0.812125326,0
CsMg30SbO32,0.922,mp-1038750,3.708789756,10.46427994,0.805508352,0
CsMg30BiO32,2.924,mp-1039576,3.937201473,10.43198534,0.814573176,0
CsMg30WO32,1.918,mp-1039763,3.916056552,10.321745,0.812901696,0
Mg30SiCO32,1.023,mp-1039816,3.443774343,9.652960291,0.744719669,0
BaMg30SiO32,1.63,mp-1039822,3.569200349,10.22471716,0.764496963,0
Mg30CrSiO32,1.799,mp-1039892,3.494896859,9.808608514,0.7489232,0
LaMg30BO32,1.986,mp-1039913,3.590546761,10.0505072,0.756646706,0
BaMg30SiO32,0.66,mp-1039914,3.559349788,10.25301423,0.762387044,0
CsLaMg30O32,2.878,mp-1039992,3.735062599,10.50977547,0.829212319,0
LaMg30BO32,1.209,mp-1040003,3.572759148,10.10054542,0.752898269,0
Mg30SnCO32,0.851,mp-1098346,3.596305111,9.897367484,0.737687844,0
HoPaO4,2.665,mp-1223799,10.00525026,12.72311768,0.661491913,0
K2PtCl4,2.03,mp-22934,3.378281992,29.14742211,0.569840307,0
K2PdCl4,1.835,mp-22956,2.65656763,29.14864583,0.57563898,0
K2PdBr4,1.446,mp-27138,3.49886206,34.18654068,0.527279447,0
CsBr2F,2.235,mp-28650,3.873936657,33.40334128,0.650286953,0
Tl2PdCl4,1.441,mp-29889,5.049401293,30.86566332,0.396700762,0
Ca3BN3,0.571,mp-30315,2.797589182,14.67494949,0.772069377,0
LuBi2BrO4,1.48,mp-545847,8.774656789,17.42994105,0.47872801,0
TmBi2ClO4,1.489,mp-546082,8.441497543,16.87650344,0.478266811,0
LaBi2IO4,1.245,mp-546672,7.780607085,19.94861275,0.504340084,0
LuBi2IO4,1.442,mp-550635,8.811564843,18.46408873,0.486600117,0
HoBi2IO4,1.417,mp-551101,8.55600061,18.77211503,0.478615634,0
TmBi2IO4,1.411,mp-552738,8.683084204,18.59308293,0.483224206,0
DyBi2BrO4,1.399,mp-552992,8.423513003,17.84932342,0.467479959,0
PrBi2ClO4,1.268,mp-553082,7.559526182,18.07594277,0.474693934,0
NdBi2BrO4,1.294,mp-553242,7.878409326,18.60327848,0.47589837,0
GdBi2IO4,1.348,mp-628631,8.29867446,19.16210167,0.481789199,0
Na2Hf2O5,2.043,mp-865500,6.467203621,13.77837826,0.682059021,0
Bi3BrO4,0.939,mp-866311,8.837934481,18.10398383,0.424365126,0
Ba2CuGe2O7,0.196,mp-22067,4.845679265,17.00502611,0.569740588,1
EuLi2GeS4,0.205,mp-629443,3.652472653,20.84191034,0.461799928,1
BaCu2GeSe4,0.356,mp-17252,5.260127347,25.76373689,0.465312416,1
BaAg2SnS4,0.367,mp-555166,4.78923043,26.00571523,0.506953701,1
SrCu2SnS4,0.403,mp-16988,4.228700144,22.66183967,0.461389739,1
BaCu2SnSe4,0.452,mp-12364,5.299959509,27.37439147,0.458888342,1
BaGe2P2,0.513,mp-27809,4.539476695,25.20758608,0.526586003,1
LaSiP3,0.518,mp-1232374,3.906908122,22.09391373,0.445380631,1
BaAg2GeS4,0.596,mp-7394,4.706044124,24.43341592,0.516100211,1
SrCu2GeSe4,0.599,mp-16179,5.123228961,24.43829586,0.449018866,1
Gd13Ge6O31F,0.616,mp-651087,6.881956278,14.17013412,0.546906196,1
KNb2PSe10,0.817,mp-1195772,4.3312337,28.63038424,0.344382865,1
CsNb2PSe10,0.859,mp-1195822,4.507854022,29.97686802,0.398062482,1
RbNb2PSe10,0.912,mp-1192452,4.420436847,29.29682582,0.360343157,1
SnGa2GeS6,0.968,mp-1194838,3.470872538,25.03032832,0.257645709,1
BaCu2GeS4,0.973,mp-17947,4.366449705,22.11981215,0.49264743,1
LaSi2P6,1.009,mp-29186,3.345803813,21.00577937,0.356212319,1
LiAsS2,1.033,mp-555874,3.052822487,19.85264593,0.346531356,1
SrCu2GeS4,1.046,mp-18685,4.08715125,21.1069985,0.468201949,1
Ba2BiInSe5,1.061,mp-1105202,5.766765122,31.77854054,0.517010258,1
Na(GeP)3,1.085,mp-1104707,3.487265054,22.70872939,0.387132987,1
Ba5In4Te4S7,1.132,mp-1105201,4.718509675,33.09391091,0.522514032,1
BaHgS2,1.156,mp-28007,5.803646073,28.75841935,0.557615097,1
Rb2P2Se6,1.292,mp-571464,3.757298607,31.23011068,0.49735504,1
Ca2CdP2,1.292,mp-1078908,3.544535942,23.84691915,0.610847548,1
K2P2Se6,1.315,mp-571452,3.484707384,29.25387037,0.464231955,1
Rb4GeP4Se12,1.368,mp-1195251,3.61378918,32.51353901,0.466956081,1
LiInTe2,1.374,mp-20782,4.704605028,33.26289573,0.385990615,1
Cs4GeP4Se12,1.383,mp-1195417,3.646212916,36.3394248,0.518750006,1
K4GeP4Se12,1.398,mp-1195433,3.321124546,30.96262082,0.430308196,1
Na2CoGeO4,1.422,mp-20161,3.624913336,13.831495,0.641329709,1
Ba2BiInS5 ,1.452,mp-864638,4.952783997,28.26647075,0.53836577,1
RuSi4P4,1.46,mp-14983,3.70727243,16.78717054,0.31941755,1
MgSiAs2,1.474,mp-1016197,3.590920896,23.37958487,0.34703032,1
BaGa4Se7,1.495,mp-1191072,4.989722288,26.87125271,0.381557823,1
LiGaGe2Se6,1.51,mp-1222398,4.109947039,28.10848071,0.272369905,1
Li2In2GeSe6,1.541,mp-1191200,4.375023986,27.25574041,0.344021448,1
LiGaTe2,1.588,mp-5048,4.598910541,29.95672192,0.375215481,1
HgBr2,1.682,mp-571558,5.884107445,33.90233575,0.264273036,1
Cs2Hg3I8,1.731,mp-540574,5.00777094,48.02521556,0.451058203,1
KPSe6,1.781,mp-18625,3.825810071,29.50533246,0.368640085,1
RbPSe6,1.792,mp-17945,4.004124228,30.59510317,0.395382486,1
Li2In2SiSe6,1.815,mp-1191817,4.234307584,26.57309449,0.343943933,1
RbB6S2(Cl3O2)2,1.815,mp-1201123,1.937332421,22.15804777,0.253978476,1
NaBa4Ge3S10Cl,1.842,mp-1201802,3.585698954,27.94009208,0.492724294,1
Rb3Ta2AsS11,1.893,mp-1209358,3.654783173,27.9539749,0.507288072,1
BaGa2GeSe6,1.918,mp-1227970,4.882512152,27.99605782,0.38019746,1
KCd4Ga5S12,1.974,mp-1223535,3.743866079,24.63917207,0.375004678,1
Li2Ga2GeS6,1.994,mp-554782,2.839573933,22.24084634,0.315797406,1
GeBi2O5,2.053,mp-23446,8.153105674,14.52667204,0.404597948,1
