Formula,band_gap,MP ID,density,vpa,packing fraction
BaAl4Se7 ,2.393,mp-1191234,4.129855152,26.73753171,0.370730667
Ge3Pb5O11,2.411,mp-557667,6.986570619,17.88715125,0.460905321
Mn4Be3Ge3SO12,2.422,mp-21616,3.650366222,13.62250126,0.319526116
Li2In2SiS6,2.427,mp-1191903,3.071233566,22.80633311,0.348568188
Zn3P2S8,2.431,mp-30311,2.972209818,22.11952662,0.253190445
Ba2MnGe2O7,2.434,mp-1192147,4.667687832,17.39828188,0.562553098
InPS4,2.475,mp-20790,3.056129866,24.81753487,0.245407681
Mn4Be3Ge3SeO12,2.54,mp-21535,3.819994597,13.90389747,0.319882059
K3Ti(O2)2F3,2.547,mp-6305,2.644567308,16.33438115,0.837556653
BaGa4S7 ,2.58,mp-4309,3.824823525,23.17893883,0.387429254
SrBi2B2O7,2.652,mp-558323,6.52568045,13.55432401,0.487564112
BaCdGeS4,2.672,mp-13831,3.841994063,27.82416748,0.421856753
KGeSbO5,2.717,mp-14352,4.213675587,15.44290674,0.567229782
Ca10Ge16(B2O17)3,2.726,mp-1019569,4.158731165,11.75670616,0.447597189
LiZnPS4,2.731,mp-11175,2.497266972,21.99855673,0.285862885
LiGeBO4,2.731,mp-8873,3.525050643,10.38971749,0.37321016
K2ZnGeO4,2.746,mp-6386,3.648606378,15.94289482,0.872730594
Na4MgSi2Se6,2.763,mp-1103351,3.407736883,24.22162831,0.512026753
BaGa2GeS6,2.766,mp-1227983,3.723094554,24.16497983,0.386299864
Li2ZrTeO6,2.779,mp-6782,4.888719201,11.1649525,0.520032169
RbIO3,2.836,mp-27193,4.684210198,18.46011682,0.742898571
TlBO2,2.865,mp-28244,6.403281242,16.0259164,0.516552522
LiGaS2,2.926,mp-3647,2.923762048,19.99084856,0.379553711
Rb2Na(NO3)3,3.014,mp-1020630,2.5849131,16.27147744,0.593047001
K2TiOF4,3.022,mp-556623,2.887948384,15.67252406,0.827065968
B6Pb3O11F2,3.025,mp-1197284,5.355298384,12.69127746,0.357158262
Li2NiGe3O8,3.043,mp-21650,4.852038895,10.23016164,0.472189285
Ca2ZnGe2O7,3.048,mp-18596,3.934383507,14.168524,0.481466031
BaGa2SiS6,3.09,mp-1227993,3.458550074,23.8741826,0.3800898
Ba2ZnGe2O7,3.106,mp-1190949,4.883773882,16.92516958,0.572428745
Sr2ZnGe2O7,3.115,mp-17392,4.490112389,15.34526516,0.543178137
NaI3O8,3.141,mp-559065,4.711493812,15.61617125,0.352996123
Rb2CdBr2I2,3.171,mp-1103709,3.672214036,45.02286534,0.507840546
RbNb(GeO3)3,3.172,mp-540633,3.902688788,16.42037571,0.434209427
Ba2MoO3F4,3.225,mp-1214599,4.976284273,16.50386149,0.610998326
Pb2(SeO3)(NO3)2,3.245,mp-1192446,5.072444579,15.5584261,0.301501193
Sb6O7(SO4)2,3.247,mp-27229,5.112666625,14.61101076,0.293315314
Ba3B3Pb2BrO9,3.258,mp-1194742,5.691820912,17.54844166,0.620435937
Zn(IO3)2,3.259,mp-23360,5.227838769,14.65401889,0.293607339
Li2Ge2O5,3.3,mp-7998,3.532485704,12.49145144,0.412962029
La3SnGa5O14,3.311,mp-6788,5.833618599,13.71310902,0.521966053
B5Pb2IO9,3.311,mp-1200548,5.383987698,13.41369988,0.35677879
B5Pb2BrO9,3.321,mp-23623,5.129207376,13.18493134,0.340111465
Ba3BPO7,3.337,mp-554479,4.642989602,16.8617862,0.68193638
Ge3(SbO3)4,3.339,mp-1201722,5.142476425,15.24378368,0.298590183
Ba3B3Pb2ClO9,3.365,mp-1195317,5.577293226,17.17354317,0.626921924
BAsPbO5,3.384,mp-22430,5.79469042,13.35843947,0.354607148
BaGePbO4,3.43,mp-1192417,6.322345362,18.05371199,0.61609125
Ba4NaGa2B8(BrO6)3,3.473,mp-1195423,4.104108464,14.90216392,0.494579667
Ba3Sc(BO3)3,3.474,mp-14972,4.709571984,13.95729961,0.707098271
RbTa(GeO3)3,3.484,mp-540632,4.572955716,16.29716473,0.437492168
SrGePbO4,3.486,mp-1192743,6.324571673,16.18296378,0.615635877
Ge3(BiO3)4,3.494,mp-23560,7.135210311,15.25980684,0.358803519
LiPbPO4,3.504,mp-22694,5.314087028,13.79871893,0.46595402
KTa(GeO3)3,3.518,mp-540631,4.320684057,15.97578726,0.402658401
K2LiBO3,3.523,mp-557632,2.410344705,14.16687026,1.081611047
BaBAsO5,3.543,mp-9784,4.373009578,14.38475365,0.478777129
Na4Ga3Ge3B(HO3)4,3.563,mp-1203580,3.053603764,14.61974029,0.414355263
SnB4O7,3.571,mp-13252,4.4329434,8.55158571,0.286430937
Tb2Ge2O7,3.601,mp-14649,6.568965976,13.21669229,0.464938965
BaZnBO3F,3.621,mp-1077866,4.689069647,14.19269091,0.581246246
Ba2TiOF6,3.638,mp-561256,4.657581617,16.13309127,0.612405556
Ba2WO3F4 ,3.649,mp-19234,5.813770604,16.63705904,0.591295982
TaTl(GeO3)3,3.657,mp-540634,5.474484326,16.18979375,0.327312311
Na5Pr4Ge4O16F,3.688,mp-1192433,4.78075952,14.40443061,0.638594023
KZn2BO3Cl2,3.708,mp-1078186,2.530801013,21.84419561,0.401218125
Na5Nd4Ge4O16F,3.723,mp-1192544,4.901345818,14.2006632,0.647757303
Er2Ge2O7,3.727,mp-13643,6.994551908,12.77223574,0.481118213
Ho2Ge2O7,3.738,mp-560082,6.863273764,12.91409941,0.475833044
Ba5B3ClO9,3.751,mp-1201345,4.651650512,17.8194845,0.711449562
BaNaNd(GeO3)3,3.756,mp-14353,4.801772419,15.36523003,0.543509997
SrGaBO4,3.768,mp-1197916,3.633865228,15.15492957,0.460997092
Ba5B4O11,3.791,mp-3974,4.720123283,15.93429259,0.716665539
K2Ga2B2O7,3.799,mp-561525,3.025219225,14.83126125,0.617657687
Ba5B3BrO9,3.801,mp-1199246,4.786474532,18.1742773,0.704230344
Ba3Y(BO3)3,3.815,mp-6310,4.758922942,14.77103011,0.698913081
Li2Ta2O3F6,3.833,mp-561011,4.51886654,15.20092013,0.288120873
KTaGeO5,3.833,mp-14377,4.826066752,16.02896861,0.546490347
Rb2GeB4O9,3.844,mp-1020707,3.136360481,14.25585113,0.593340553
BAsO4,3.875,mp-11654,4.019623402,10.3091269,0.20309159
